Accession	Title	Links	Status	Release Date	Created	Updated	Submission	BioSample.name	BioSample.organism_name
SAMN29453525	376_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.193Z	2022-10-25T09:19:15.143Z	SUB11601558	AGL2932	Severe acute respiratory syndrome coronavirus 2
SAMN29453520	374_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.140Z	2022-10-25T09:19:15.130Z	SUB11601558	AGL2857	Severe acute respiratory syndrome coronavirus 2
SAMN29453519	374_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.130Z	2022-10-25T09:19:15.113Z	SUB11601558	AGL2739	Severe acute respiratory syndrome coronavirus 2
SAMN29453515	373_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.093Z	2022-10-25T09:19:15.096Z	SUB11601558	AGL3200	Severe acute respiratory syndrome coronavirus 2
SAMN29453514	372_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.086Z	2022-10-25T09:19:15.080Z	SUB11601558	AGL2744	Severe acute respiratory syndrome coronavirus 2
SAMN29453511	371_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.060Z	2022-10-25T09:19:15.063Z	SUB11601558	AGL2703	Severe acute respiratory syndrome coronavirus 2
SAMN29453509	371_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.040Z	2022-10-25T09:19:15.040Z	SUB11601558	AGL2699	Severe acute respiratory syndrome coronavirus 2
SAMN29453508	370_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.033Z	2022-10-25T09:19:15.023Z	SUB11601558	AGL2847	Severe acute respiratory syndrome coronavirus 2
SAMN29453505	369_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.006Z	2022-10-25T09:19:15.006Z	SUB11601558	AGL2698	Severe acute respiratory syndrome coronavirus 2
SAMN29453503	369_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.986Z	2022-10-25T09:19:14.990Z	SUB11601558	AGL2706	Severe acute respiratory syndrome coronavirus 2
SAMN29453252	284_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.553Z	2022-10-25T09:19:14.973Z	SUB11601558	AGL1551	Severe acute respiratory syndrome coronavirus 2
SAMN29453251	284_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.546Z	2022-10-25T09:19:14.956Z	SUB11601558	AGL1544	Severe acute respiratory syndrome coronavirus 2
SAMN29453202	268_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.110Z	2022-10-25T09:19:14.940Z	SUB11601558	AGL1394	Severe acute respiratory syndrome coronavirus 2
SAMN29453201	267_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.100Z	2022-10-25T09:19:14.926Z	SUB11601558	AGL1408	Severe acute respiratory syndrome coronavirus 2
SAMN29453200	267_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.090Z	2022-10-25T09:19:14.910Z	SUB11601558	AGL1351	Severe acute respiratory syndrome coronavirus 2
SAMN29453197	266_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.066Z	2022-10-25T09:19:14.896Z	SUB11601558	AGL1435	Severe acute respiratory syndrome coronavirus 2
SAMN29453196	266_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.056Z	2022-10-25T09:19:14.880Z	SUB11601558	AGL1427	Severe acute respiratory syndrome coronavirus 2
SAMN29453195	265_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.050Z	2022-10-25T09:19:14.863Z	SUB11601558	AGL1414	Severe acute respiratory syndrome coronavirus 2
SAMN29453193	265_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.033Z	2022-10-25T09:19:14.843Z	SUB11601558	AGL1422	Severe acute respiratory syndrome coronavirus 2
SAMN29453192	264_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.023Z	2022-10-25T09:19:14.826Z	SUB11601558	AGL1425	Severe acute respiratory syndrome coronavirus 2
SAMN29453191	264_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.016Z	2022-10-25T09:19:14.810Z	SUB11601558	AGL1399	Severe acute respiratory syndrome coronavirus 2
